# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 30.11; -0.00288; 0.00457; -0.37387; 0.01312
3.0; 0.101; 29.67; -0.03723; -0.09142; -0.38588; 0.02060
6.0; 0.203; 29.25; -0.00277; -0.09330; -0.35794; 0.02003
9.0; 0.314; 25.92; -0.00421; -0.08234; -0.32915; 0.02067
12.0; 0.441; 22.70; -0.00674; -0.08899; -0.30554; 0.02039
15.0; 0.586; 20.24; -0.00799; -0.09698; -0.29167; 0.01788
18.0; 0.744; 17.76; -0.00979; -0.09638; -0.28732; 0.01420
21.0; 0.915; 16.21; -0.01016; -0.09209; -0.29228; 0.00966
24.0; 1.091; 15.96; -0.00970; -0.08454; -0.30320; 0.00535
27.0; 1.259; 19.73; -0.00744; -0.08071; -0.31410; 0.00305
30.0; 1.394; 26.05; -0.00526; -0.07663; -0.32049; 0.00271
33.0; 1.501; 30.46; -0.00374; -0.06848; -0.32245; 0.00268
36.0; 1.599; 31.32; -0.00266; -0.05174; -0.32038; 0.00243
39.0; 1.695; 31.14; -0.00200; -0.03284; -0.31529; 0.00220
42.0; 1.792; 30.79; -0.00162; -0.01880; -0.30822; 0.00210
45.0; 1.890; 30.45; -0.00163; -0.01059; -0.30039; 0.00197
48.0; 1.990; 30.15; 0.00154; -0.00738; -0.29413; 0.00165
51.0; 2.090; 29.87; 0.00378; -0.00602; -0.29061; 0.00101
54.0; 2.191; 30.06; 0.01553; -0.00443; -0.26758; -0.00036
57.0; 2.291; 30.07; 0.00998; -0.00462; -0.27935; -0.00221
60.0; 2.392; 30.13; 0.00524; -0.00401; -0.29314; -0.00340
63.0; 2.492; 30.18; 0.00391; -0.00249; -0.31059; -0.00413
66.0; 2.592; 30.21; 0.00323; -0.00054; -0.33037; -0.00425
69.0; 2.692; 30.19; 0.00281; 0.00131; -0.35022; -0.00360
72.0; 2.792; 30.12; 0.00265; 0.00243; -0.36712; -0.00217
75.0; 2.892; 29.99; 0.00253; 0.00070; -0.37827; -0.00024
78.0; 2.993; 29.77; 0.00232; -0.00593; -0.38258; 0.00151
81.0; 3.095; 29.47; 0.00310; -0.01242; -0.38096; 0.00246
84.0; 3.198; 29.16; 0.01349; 0.01880; -0.37297; 0.00394
87.0; 3.301; 29.47; 0.01027; 0.00592; -0.36439; 0.00550
90.0; 3.404; 29.80; 0.00527; 0.00164; -0.34431; 0.00638
93.0; 3.505; 30.03; 0.00417; -0.00079; -0.32172; 0.00678
96.0; 3.606; 30.18; 0.00373; -0.00302; -0.29825; 0.00688
99.0; 3.706; 30.27; 0.00351; -0.00489; -0.27460; 0.00680
102.0; 3.806; 30.33; 0.00336; -0.00662; -0.25115; 0.00659
105.0; 3.905; 30.36; 0.00324; -0.00824; -0.22821; 0.00630
108.0; 4.005; 30.38; 0.00314; -0.00978; -0.20597; 0.00595
111.0; 4.104; 30.38; 0.00306; -0.01130; -0.18454; 0.00553
114.0; 4.203; 30.39; 0.00297; -0.01285; -0.16403; 0.00504
117.0; 4.303; 30.39; 0.00288; -0.01448; -0.14468; 0.00440
120.0; 4.402; 30.39; 0.00279; -0.01622; -0.12708; 0.00356
123.0; 4.502; 30.38; 0.00270; -0.01809; -0.11219; 0.00246
126.0; 4.601; 30.38; 0.00260; -0.02002; -0.10132; 0.00112
129.0; 4.701; 30.38; 0.00251; -0.02189; -0.09553; -0.00036
132.0; 4.800; 30.38; 0.00242; -0.02364; -0.09548; -0.00182
135.0; 4.899; 30.38; 0.00235; -0.02517; -0.10091; -0.00309
138.0; 4.999; 30.37; 0.00229; -0.02648; -0.11089; -0.00407
141.0; 5.098; 30.37; 0.00223; -0.02761; -0.12411; -0.00471
144.0; 5.198; 30.37; 0.00219; -0.02857; -0.13928; -0.00505
147.0; 5.297; 30.37; 0.00215; -0.02934; -0.15551; -0.00517
150.0; 5.397; 30.37; 0.00213; -0.02985; -0.17241; -0.00519
153.0; 5.496; 30.38; 0.00212; -0.03006; -0.18993; -0.00512
156.0; 5.596; 30.38; 0.00212; -0.02996; -0.20772; -0.00491
159.0; 5.695; 30.38; 0.00214; -0.02962; -0.22504; -0.00450
162.0; 5.794; 30.38; 0.00216; -0.02913; -0.24091; -0.00389
165.0; 5.894; 30.38; 0.00219; -0.02861; -0.25447; -0.00311
168.0; 5.993; 30.38; 0.00221; -0.02811; -0.26511; -0.00223
171.0; 6.093; 30.38; 0.00223; -0.02768; -0.27249; -0.00130
174.0; 6.192; 30.38; 0.00225; -0.02735; -0.27639; -0.00036
177.0; 6.291; 30.38; 0.00226; -0.02717; -0.27682; 0.00049
180.0; 6.391; 30.38; 0.00226; -0.02717; -0.27405; 0.00118
183.0; 6.490; 30.38; 0.00226; -0.02732; -0.26890; 0.00162
186.0; 6.590; 30.38; 0.00225; -0.02753; -0.26254; 0.00181
189.0; 6.689; 30.38; 0.00224; -0.02767; -0.25616; 0.00182
192.0; 6.788; 30.37; 0.00224; -0.02765; -0.25044; 0.00177
195.0; 6.888; 30.37; 0.00225; -0.02743; -0.24550; 0.00182
198.0; 6.987; 30.37; 0.00227; -0.02700; -0.24077; 0.00213
201.0; 7.087; 30.37; 0.00230; -0.02640; -0.23489; 0.00280
204.0; 7.186; 30.37; 0.00233; -0.02577; -0.22602; 0.00385
207.0; 7.286; 30.37; 0.00236; -0.02528; -0.21232; 0.00518
210.0; 7.385; 30.37; 0.00237; -0.02509; -0.19243; 0.00654
213.0; 7.485; 30.37; 0.00235; -0.02537; -0.16618; 0.00759
216.0; 7.584; 30.37; 0.00232; -0.02615; -0.13514; 0.00798
219.0; 7.683; 30.37; 0.00227; -0.02732; -0.10263; 0.00739
222.0; 7.783; 30.37; 0.00221; -0.02859; -0.07343; 0.00571
225.0; 7.882; 30.36; 0.00216; -0.02960; -0.05258; 0.00312
228.0; 7.982; 30.36; 0.00215; -0.03000; -0.04391; 0.00005
231.0; 8.081; 30.36; 0.00217; -0.02961; -0.04877; -0.00290
234.0; 8.181; 30.36; 0.00223; -0.02837; -0.06565; -0.00524
237.0; 8.281; 30.36; 0.00232; -0.02651; -0.09106; -0.00671
240.0; 8.380; 30.36; 0.00244; -0.02426; -0.12078; -0.00738
243.0; 8.480; 30.36; 0.00256; -0.02186; -0.15145; -0.00746
246.0; 8.579; 30.36; 0.00269; -0.01941; -0.18132; -0.00721
249.0; 8.679; 30.36; 0.00281; -0.01700; -0.20979; -0.00677
252.0; 8.778; 30.35; 0.00293; -0.01486; -0.23679; -0.00622
255.0; 8.878; 30.35; 0.00305; -0.01281; -0.26211; -0.00551
258.0; 8.977; 30.35; 0.00316; -0.01089; -0.28506; -0.00460
261.0; 9.077; 30.35; 0.00329; -0.00909; -0.30472; -0.00353
264.0; 9.176; 30.35; 0.00343; -0.00739; -0.32031; -0.00236
267.0; 9.276; 30.36; 0.00359; -0.00575; -0.33139; -0.00120
270.0; 9.375; 30.37; 0.00380; -0.00412; -0.33800; -0.00015
273.0; 9.475; 30.41; 0.00410; -0.00243; -0.34057; 0.00069
276.0; 9.574; 30.46; 0.00459; -0.00053; -0.33991; 0.00122
279.0; 9.673; 30.56; 0.00549; 0.00233; -0.33724; 0.00140
282.0; 9.772; 30.75; 0.00757; 0.01969; -0.33289; 0.00179
285.0; 9.870; 30.61; 0.01702; 0.02487; -0.30984; 0.00317
288.0; 9.969; 30.51; 0.00576; 0.01946; -0.29958; 0.00381
291.0; 10.068; 30.43; -0.00054; 0.00696; -0.29062; 0.00338
294.0; 10.168; 30.37; -0.00223; 0.00493; -0.28517; 0.00245
297.0; 10.267; 30.33; -0.00365; 0.00340; -0.28391; 0.00145
300.0; 10.367; 30.31; -0.00510; 0.00248; -0.28668; 0.00048
303.0; 10.466; 30.30; -0.00487; 0.00240; -0.29324; -0.00033
306.0; 10.566; 30.30; -0.00431; 0.00260; -0.30296; -0.00098
309.0; 10.666; 30.30; -0.00393; 0.00315; -0.31505; -0.00147
312.0; 10.766; 30.31; -0.00368; 0.00433; -0.32899; -0.00181
315.0; 10.865; 30.31; -0.00350; 0.00576; -0.34457; -0.00203
318.0; 10.965; 30.30; -0.00335; 0.00757; -0.36162; -0.00204
321.0; 11.065; 30.30; -0.00321; 0.00973; -0.37958; -0.00171
324.0; 11.165; 30.30; -0.00307; 0.01215; -0.39699; -0.00087
327.0; 11.264; 30.30; -0.00294; 0.01466; -0.41157; 0.00058
330.0; 11.364; 30.30; -0.00282; 0.01697; -0.42049; 0.00259
333.0; 11.464; 30.30; -0.00273; 0.01871; -0.42120; 0.00498
336.0; 11.564; 30.30; -0.00270; 0.01949; -0.41217; 0.00740
339.0; 11.664; 30.30; -0.00272; 0.01901; -0.39354; 0.00946
342.0; 11.763; 30.30; -0.00281; 0.01709; -0.36702; 0.01080
345.0; 11.863; 30.30; -0.00297; 0.01365; -0.33570; 0.01111
348.0; 11.963; 30.29; -0.00318; 0.00951; -0.30367; 0.01019
351.0; 12.063; 30.28; -0.00340; 0.00497; -0.27547; 0.00800
354.0; 12.163; 30.26; -0.00365; -0.00000; -0.25586; 0.00455
357.0; 12.263; 30.21; -0.00392; -0.00521; -0.24930; -0.00003
360.0; 12.363; 30.13; -0.00421; -0.01072; -0.25964; -0.00559
363.0; 12.463; 29.98; -0.00440; -0.01467; -0.28955; -0.01182
366.0; 12.564; 29.74; -0.00432; -0.01363; -0.33985; -0.01820
369.0; 12.666; 29.35; -0.00383; -0.00426; -0.40889; -0.02387
372.0; 12.769; 28.78; -0.00276; 0.01732; -0.49182; -0.02772
375.0; 12.875; 27.95; -0.00097; 0.05251; -0.58352; -0.02826
378.0; 12.984; 26.87; 0.00170; 0.10263; -0.67267; -0.02347
381.0; 13.097; 25.67; 0.00239; 0.13156; -0.74582; -0.01284
384.0; 13.215; 24.42; 0.00117; 0.16648; -0.79165; 0.00153
387.0; 13.338; 23.17; -0.00056; 0.19910; -0.80535; 0.01631
390.0; 13.466; 21.95; -0.00316; 0.22462; -0.79281; 0.02843
393.0; 13.601; 20.74; -0.00651; 0.24211; -0.76415; 0.03744
396.0; 13.743; 19.48; -0.00994; 0.25604; -0.72407; 0.04541
399.0; 13.895; 18.15; -0.01246; 0.27466; -0.66446; 0.05572
402.0; 14.059; 17.35; -0.01295; 0.31757; -0.56446; 0.07035
405.0; 14.231; 17.53; -0.01223; 0.38612; -0.41560; 0.08526
408.0; 14.399; 18.64; -0.01375; 0.44703; -0.24489; 0.09390
411.0; 14.552; 20.58; -0.01892; 0.46075; -0.09366; 0.09149
414.0; 14.682; 23.62; -0.02707; 0.42181; -0.01758; 0.05031
417.0; 14.795; 23.23; -0.03703; 0.26275; -0.02891; 0.03233
420.0; 14.910; 22.91; -0.03817; 0.24255; -0.12231; -0.00764
423.0; 15.029; 15.27; -0.01410; 0.41424; -0.24153; -0.01032
426.0; 15.219; 16.64; -0.01453; 0.42201; -0.32848; -0.02654
429.0; 15.391; 18.10; -0.01642; 0.38415; -0.44391; -0.02841
432.0; 15.548; 19.65; -0.01740; 0.33021; -0.55273; -0.02204
435.0; 15.691; 21.49; -0.01633; 0.28451; -0.63182; -0.00920
438.0; 15.822; 23.68; -0.01374; 0.25038; -0.66550; 0.00715
441.0; 15.942; 25.99; -0.01082; 0.21908; -0.65298; 0.02158
444.0; 16.054; 28.06; -0.00825; 0.18460; -0.60721; 0.03037
447.0; 16.158; 29.56; -0.00618; 0.14733; -0.54392; 0.03370
450.0; 16.259; 30.44; -0.00454; 0.11233; -0.47415; 0.03345
453.0; 16.357; 30.85; -0.00322; 0.08256; -0.40447; 0.03116
456.0; 16.455; 30.97; -0.00222; 0.05697; -0.33898; 0.02757
459.0; 16.553; 30.93; -0.00164; 0.04244; -0.28070; 0.02306
462.0; 16.650; 30.83; -0.00163; 0.04189; -0.23091; 0.01844
465.0; 16.748; 30.72; -0.00169; 0.03983; -0.19002; 0.01435
468.0; 16.847; 30.63; -0.00178; 0.03732; -0.15838; 0.01090
471.0; 16.946; 30.55; -0.00189; 0.03474; -0.13535; 0.00833
474.0; 17.045; 30.49; -0.00198; 0.03253; -0.11918; 0.00669
477.0; 17.144; 30.45; -0.00204; 0.03108; -0.10799; 0.00557
480.0; 17.243; 30.43; -0.00206; 0.03062; -0.10109; 0.00446
483.0; 17.342; 30.41; -0.00203; 0.03117; -0.09870; 0.00322
486.0; 17.442; 30.40; -0.00196; 0.03261; -0.10106; 0.00199
489.0; 17.541; 30.39; -0.00186; 0.03477; -0.10797; 0.00093
492.0; 17.640; 30.39; -0.00174; 0.03746; -0.11864; 0.00022
495.0; 17.740; 30.38; -0.00160; 0.04046; -0.13161; -0.00002
498.0; 17.839; 30.37; -0.00146; 0.04354; -0.14487; 0.00025
501.0; 17.939; 30.36; -0.00133; 0.04641; -0.15622; 0.00095
504.0; 18.038; 30.35; -0.00121; 0.04885; -0.16396; 0.00188
507.0; 18.138; 30.34; -0.00113; 0.05068; -0.16738; 0.00274
510.0; 18.238; 30.34; -0.00107; 0.05182; -0.16705; 0.00332
513.0; 18.337; 30.33; -0.00105; 0.05231; -0.16443; 0.00349
516.0; 18.437; 30.32; -0.00105; 0.05229; -0.16136; 0.00327
519.0; 18.536; 30.32; -0.00107; 0.05190; -0.15962; 0.00272
522.0; 18.636; 30.31; -0.00109; 0.05131; -0.16065; 0.00193
525.0; 18.736; 30.31; -0.00112; 0.05067; -0.16536; 0.00104
528.0; 18.836; 30.30; -0.00115; 0.05007; -0.17406; 0.00019
531.0; 18.935; 30.29; -0.00117; 0.04957; -0.18651; -0.00049
534.0; 19.035; 30.29; -0.00119; 0.04920; -0.20195; -0.00089
537.0; 19.135; 30.29; -0.00120; 0.04893; -0.21916; -0.00093
540.0; 19.235; 30.28; -0.00121; 0.04873; -0.23665; -0.00059
543.0; 19.334; 30.28; -0.00122; 0.04853; -0.25277; 0.00013
546.0; 19.434; 30.29; -0.00124; 0.04822; -0.26593; 0.00112
549.0; 19.534; 30.29; -0.00126; 0.04770; -0.27499; 0.00225
552.0; 19.634; 30.30; -0.00130; 0.04692; -0.27940; 0.00336
555.0; 19.734; 30.31; -0.00135; 0.04582; -0.27927; 0.00428
558.0; 19.833; 30.32; -0.00142; 0.04438; -0.27538; 0.00483
561.0; 19.933; 30.33; -0.00150; 0.04262; -0.26923; 0.00491
564.0; 20.033; 30.34; -0.00160; 0.04058; -0.26280; 0.00445
567.0; 20.132; 30.35; -0.00170; 0.03837; -0.25824; 0.00350
570.0; 20.232; 30.36; -0.00181; 0.03616; -0.25751; 0.00219
573.0; 20.332; 30.35; -0.00190; 0.03410; -0.26171; 0.00069
576.0; 20.431; 30.34; -0.00198; 0.03240; -0.27122; -0.00084
579.0; 20.531; 30.30; -0.00203; 0.03136; -0.28572; -0.00231
582.0; 20.631; 30.24; -0.00202; 0.03147; -0.30474; -0.00373
585.0; 20.731; 30.12; -0.00192; 0.03353; -0.32811; -0.00524
588.0; 20.831; 29.93; -0.00167; 0.03866; -0.35633; -0.00691
591.0; 20.933; 29.63; -0.00120; 0.04839; -0.39013; -0.00861
594.0; 21.035; 29.19; -0.00039; 0.06458; -0.42980; -0.00987
597.0; 21.139; 28.61; 0.00087; 0.08944; -0.47412; -0.00975
600.0; 21.245; 27.90; 0.00189; 0.10845; -0.52136; -0.00813
603.0; 21.353; 27.11; 0.00174; 0.12255; -0.57285; -0.00659
606.0; 21.465; 26.26; 0.00091; 0.14453; -0.63452; -0.00690
609.0; 21.580; 25.36; -0.00003; 0.16860; -0.71526; -0.00936
612.0; 21.699; 24.44; -0.00128; 0.19064; -0.82310; -0.01306
615.0; 21.822; 23.53; -0.00293; 0.20827; -0.96153; -0.01655
618.0; 21.950; 22.69; -0.00493; 0.22094; -1.12634; -0.01769
621.0; 22.081; 21.94; -0.00711; 0.22977; -1.30185; -0.01368
624.0; 22.218; 21.32; -0.00920; 0.23676; -1.46137; -0.00274
627.0; 22.358; 20.87; -0.01096; 0.24353; -1.57586; 0.01412
630.0; 22.501; 20.69; -0.01231; 0.24979; -1.62562; 0.03357
633.0; 22.645; 20.83; -0.01330; 0.25280; -1.60660; 0.05070
636.0; 22.789; 21.33; -0.01394; 0.24918; -1.53180; 0.06038
639.0; 22.928; 22.20; -0.01403; 0.23898; -1.42437; 0.06119
642.0; 23.061; 23.52; -0.01321; 0.22635; -1.30289; 0.05645
645.0; 23.186; 25.32; -0.01149; 0.21285; -1.17675; 0.05031
648.0; 23.301; 27.40; -0.00934; 0.19375; -1.05084; 0.04498
651.0; 23.408; 29.27; -0.00726; 0.16224; -0.92731; 0.04152
654.0; 23.510; 30.50; -0.00542; 0.12094; -0.80393; 0.04015
657.0; 23.608; 31.04; -0.00375; 0.08013; -0.67842; 0.03938
660.0; 23.705; 31.14; -0.00208; 0.04814; -0.55452; 0.03689
663.0; 23.802; 31.02; -0.00162; 0.04299; -0.43912; 0.03250
666.0; 23.900; 30.84; -0.00180; 0.03814; -0.33671; 0.02749
669.0; 23.998; 30.68; -0.00198; 0.03376; -0.24940; 0.02238
672.0; 24.097; 30.57; -0.00217; 0.02942; -0.17855; 0.01747
675.0; 24.196; 30.49; -0.00239; 0.02492; -0.12423; 0.01284
678.0; 24.295; 30.45; -0.00260; 0.02064; -0.08524; 0.00856
681.0; 24.394; 30.42; -0.00281; 0.01654; -0.06051; 0.00467
684.0; 24.493; 30.41; -0.00301; 0.01297; -0.04863; 0.00129
687.0; 24.593; 30.40; -0.00321; 0.00979; -0.04769; -0.00146
690.0; 24.692; 30.39; -0.00343; 0.00696; -0.05530; -0.00350
693.0; 24.791; 30.39; -0.00373; 0.00440; -0.06882; -0.00480
696.0; 24.891; 30.38; -0.00433; 0.00252; -0.08541; -0.00537
699.0; 24.990; 30.36; 0.00390; 0.00344; -0.10190; -0.00509
702.0; 25.090; 30.35; 0.00628; 0.00646; -0.11534; -0.00388
705.0; 25.190; 30.32; 0.00462; 0.00646; -0.12235; -0.00196
708.0; 25.289; 30.28; 0.00405; 0.00483; -0.12101; 0.00045
711.0; 25.389; 30.20; 0.00369; 0.00121; -0.11014; 0.00315
714.0; 25.489; 30.08; 0.00332; -0.00499; -0.08906; 0.00594
717.0; 25.590; 29.89; 0.00281; -0.01492; -0.05790; 0.00848
720.0; 25.691; 29.63; 0.00211; -0.02897; -0.01665; 0.01035
723.0; 25.793; 29.26; 0.00117; -0.04813; 0.03343; 0.01092
726.0; 25.896; 28.78; -0.00011; -0.07404; 0.08835; 0.00940
729.0; 26.001; 28.24; -0.00112; -0.09437; 0.14374; 0.00596
732.0; 26.108; 27.72; -0.00084; -0.10415; 0.19830; 0.00195
735.0; 26.217; 27.22; 0.00020; -0.12021; 0.25206; -0.00192
738.0; 26.328; 26.79; 0.00115; -0.13725; 0.30253; -0.00618
741.0; 26.440; 26.48; 0.00209; -0.15217; 0.34469; -0.01094
744.0; 26.552; 26.33; 0.00302; -0.16339; 0.37366; -0.01548
747.0; 26.665; 26.40; 0.00383; -0.17033; 0.38701; -0.01908
750.0; 26.778; 26.70; 0.00442; -0.17305; 0.38335; -0.02219
753.0; 26.889; 27.23; 0.00469; -0.17182; 0.36002; -0.02551
756.0; 26.997; 27.95; 0.00466; -0.16674; 0.31564; -0.02849
759.0; 27.103; 28.75; 0.00435; -0.15759; 0.25359; -0.03007
762.0; 27.206; 29.52; 0.00386; -0.14417; 0.18099; -0.02969
765.0; 27.307; 30.17; 0.00325; -0.12669; 0.10595; -0.02744
768.0; 27.406; 30.63; 0.00259; -0.10581; 0.03501; -0.02389
771.0; 27.504; 30.88; 0.00191; -0.08210; -0.02818; -0.01965
774.0; 27.601; 30.96; 0.00126; -0.05645; -0.08188; -0.01498
777.0; 27.699; 30.90; 0.00124; -0.05085; -0.12714; -0.01078
780.0; 27.797; 30.77; 0.00159; -0.04238; -0.16754; -0.00809
